Date,EOD/SIVR - Open,EOD/SIVR - High,EOD/SIVR - Low,EOD/SIVR - Close,EOD/SIVR - Volume,EOD/SIVR - Dividend,EOD/SIVR - Split,EOD/SIVR - Adj_Open,EOD/SIVR - Adj_High,EOD/SIVR - Adj_Low,EOD/SIVR - Adj_Close,EOD/SIVR - Adj_Volume,EOD/SLV - Open,EOD/SLV - High,EOD/SLV - Low,EOD/SLV - Close,EOD/SLV - Volume,EOD/SLV - Dividend,EOD/SLV - Split,EOD/SLV - Adj_Open,EOD/SLV - Adj_High,EOD/SLV - Adj_Low,EOD/SLV - Adj_Close,EOD/SLV - Adj_Volume,EOD/FCOM - Open,EOD/FCOM - High,EOD/FCOM - Low,EOD/FCOM - Close,EOD/FCOM - Volume,EOD/FCOM - Dividend,EOD/FCOM - Split,EOD/FCOM - Adj_Open,EOD/FCOM - Adj_High,EOD/FCOM - Adj_Low,EOD/FCOM - Adj_Close,EOD/FCOM - Adj_Volume,EOD/VOX - Open,EOD/VOX - High,EOD/VOX - Low,EOD/VOX - Close,EOD/VOX - Volume,EOD/VOX - Dividend,EOD/VOX - Split,EOD/VOX - Adj_Open,EOD/VOX - Adj_High,EOD/VOX - Adj_Low,EOD/VOX - Adj_Close,EOD/VOX - Adj_Volume
2018-12-03,14.11,14.1379,13.9538,13.96,401465.0,0.0,1.0,14.11,14.1379,13.9538,13.96,401465.0,13.63,13.65,13.48,13.49,11934379.0,0.0,1.0,13.63,13.65,13.48,13.49,11934379.0,31.59,31.59,30.95,31.1,135459.0,0.0,1.0,30.843561070237882,30.843561070237882,30.218683606326763,30.36513926193093,135459.0,82.21,82.51,80.67,81.0,730947.0,0.0,1.0,80.33403749718303,80.62719175152138,78.82917899157957,79.15164867135174,730947.0
2018-12-04,14.22,14.25,14.1,14.12,115543.0,0.0,1.0,14.22,14.25,14.1,14.12,115543.0,13.74,13.77,13.62,13.62,10208833.0,0.0,1.0,13.74,13.77,13.62,13.62,10208833.0,30.95,31.13,29.66,30.06,276411.0,0.0,1.0,30.218683606326763,30.394430393051763,28.959164968130914,29.34971338307536,276411.0,80.82,81.27,78.3,78.5,207678.0,0.0,1.0,78.97575611874873,79.41548750025623,76.51326038230668,76.70869655186557,207678.0
2018-12-06,14.03,14.078,14.005,14.06,96037.0,0.0,1.0,14.03,14.078,14.005,14.06,96037.0,13.54,13.61,13.52,13.6,6372061.0,0.0,1.0,13.54,13.61,13.52,13.6,6372061.0,29.78,30.28,29.5975,30.28,303698.0,0.0,1.0,29.07632949261425,29.564515011294812,28.898141778295845,29.564515011294812,303698.0,77.47,79.13,76.97,79.13,310678.0,0.0,1.0,75.70220027863728,77.32432048597609,75.21360985474004,77.32432048597609,310678.0
2018-12-07,14.12,14.24,14.12,14.22,95917.0,0.0,1.0,14.12,14.24,14.12,14.22,95917.0,13.64,13.76,13.63,13.73,8445067.0,0.0,1.0,13.64,13.76,13.63,13.73,8445067.0,30.25,30.4172,29.6105,29.74,38744.0,0.0,1.0,29.535223880173977,29.698473117620757,28.910834601781538,29.0372746511198,38744.0,78.88,79.5,77.25,77.63,194496.0,0.0,1.0,77.08002527402746,77.68587739966004,75.48722049212249,75.85854921428438,194496.0
2018-12-10,14.1,14.1853,14.0839,14.11,127557.0,0.0,1.0,14.1,14.1853,14.0839,14.11,127557.0,13.63,13.71,13.6,13.65,6420606.0,0.0,1.0,13.63,13.71,13.6,13.65,6420606.0,29.81,30.02,29.3644,29.93,93412.0,0.0,1.0,29.10562062373508,29.310658541580917,28.670549689486965,29.222785148218417,93412.0,77.67,78.2821,76.6,77.97,270504.0,0.0,1.0,75.89763644819617,76.49576884513115,74.85205294105609,76.1907907025345,270504.0
2018-12-11,14.22,14.2998,14.12,14.15,136367.0,0.0,1.0,14.22,14.2998,14.12,14.15,136367.0,13.76,13.82,13.63,13.66,6799528.0,0.0,1.0,13.76,13.82,13.63,13.66,6799528.0,30.34,30.34,29.77,29.95,33172.0,0.0,1.0,29.623097273536477,29.623097273536477,29.066565782240637,29.242312568965637,33172.0,78.91,79.1,77.665,78.13,163488.0,0.0,1.0,77.1093406994613,77.29500506054225,75.8927505439572,76.34713963818162,163488.0
2018-12-12,14.28,14.37,14.28,14.33,521110.0,0.0,1.0,14.28,14.37,14.28,14.33,521110.0,13.8,13.89,13.79,13.82,7021631.0,0.0,1.0,13.8,13.89,13.79,13.82,7021631.0,30.28,30.52,30.138,30.21,190135.0,0.0,1.0,29.564515011294812,29.79884406026148,29.425870323989532,29.496169038679533,190135.0,78.83,79.69,78.66,78.69,127955.0,0.0,1.0,77.03116623163774,77.87154176074098,76.86504548751269,76.89436091294652,127955.0
2018-12-13,14.32,14.37,14.3,14.35,76433.0,0.0,1.0,14.32,14.37,14.3,14.35,76433.0,13.84,13.88,13.8,13.86,4870031.0,0.0,1.0,13.84,13.88,13.8,13.86,4870031.0,30.29,30.4,29.8201,30.06,42267.0,0.0,1.0,29.57427872166842,29.681679535778144,29.11548197121243,29.34971338307536,42267.0,78.62,78.9804,77.58,78.0,153014.0,0.247,1.0,77.06924045473731,77.42253165621133,76.04975419077233,76.46146979737357,153014.0
2018-12-14,14.09,14.21,14.09,14.16,213089.0,0.0,1.0,14.09,14.21,14.09,14.16,213089.0,13.62,13.735,13.6,13.7,8673745.0,0.0,1.0,13.62,13.735,13.6,13.7,8673745.0,29.78,30.12,29.6332,29.73,63187.0,0.0,1.0,29.07632949261425,29.408295645317033,28.932998224329634,29.027510940746193,63187.0,77.32,78.12,76.97,77.16,154745.0,0.0,1.0,75.79488262478108,76.57910282783108,75.45178628594671,75.63803858417108,154745.0
2018-12-17,14.19,14.29,14.17,14.25,593595.0,0.0,1.0,14.19,14.29,14.17,14.25,593595.0,13.71,13.8056,13.68,13.77,6517029.0,0.0,1.0,13.71,13.8056,13.68,13.77,6517029.0,29.58,29.79,28.88,29.1195,354323.0,0.0,1.0,28.881055285142022,29.086093202987858,28.197595558989235,28.431436422437226,354323.0,77.0,77.45,74.95,75.5,2338906.0,0.0,1.0,75.48119454356109,75.92231840777671,73.47163027324551,74.01078166284236,2338906.0
